"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"897";"T001038";"10000";"CR14  ";"2023JJ00";"    1352";"     112";"     423";"    1149";"     252";"     151";"     101";"     385";"     382";"      17";"     101";"     189";"       4";"     185";"      75";"      29";"       9";"      20"
"898";"T001038";"10000";"CR14  ";"2024JJ00";"    1306";"     122";"     395";"    1154";"     249";"     150";"      99";"     397";"     453";"      25";"     125";"     234";"       6";"     228";"      69";"      33";"      11";"      22"
"925";"T001038";"10000";"CR15  ";"2022JJ00";"    2110";"     170";"     661";"    1698";"     411";"     244";"     167";"     513";"     590";"      30";"     146";"     315";"       7";"     308";"      99";"      64";"      23";"      41"
"926";"T001038";"10000";"CR15  ";"2023JJ00";"    2100";"     185";"     672";"    1720";"     337";"     200";"     137";"     560";"     614";"      16";"     171";"     350";"       9";"     341";"      77";"      70";"      25";"      45"
"927";"T001038";"10000";"CR15  ";"2024JJ00";"    2082";"     158";"     713";"    1676";"     355";"     212";"     143";"     532";"     702";"      24";"     219";"     380";"      19";"     361";"      79";"      57";"      24";"      33"
"954";"T001038";"10000";"CR16  ";"2022JJ00";"     663";"      37";"     150";"     538";"     135";"      83";"      52";"     155";"     169";"       5";"      44";"      99";"       1";"      98";"      21";"      15";"       5";"      10"
"955";"T001038";"10000";"CR16  ";"2023JJ00";"     618";"      57";"     151";"     507";"     119";"      70";"      49";"     162";"     185";"       7";"      69";"      89";"       2";"      87";"      20";"      21";"       6";"      15"
"956";"T001038";"10000";"CR16  ";"2024JJ00";"     657";"      60";"     167";"     480";"     103";"      58";"      45";"     165";"     214";"      12";"      60";"     114";"       0";"     114";"      28";"      15";"       1";"      14"
"983";"T001038";"10000";"CR17  ";"2022JJ00";"    3061";"     234";"     919";"    2604";"     555";"     323";"     232";"     959";"     862";"      59";"     261";"     422";"       9";"     413";"     120";"      89";"      27";"      62"
"984";"T001038";"10000";"CR17  ";"2023JJ00";"    3217";"     242";"     951";"    2503";"     519";"     330";"     189";"     881";"     874";"      29";"     298";"     412";"      18";"     394";"     135";"     110";"      51";"      59"
"985";"T001038";"10000";"CR17  ";"2024JJ00";"    3128";"     235";"     980";"    2403";"     500";"     291";"     209";"     853";"     988";"      65";"     324";"     473";"      21";"     452";"     126";"      78";"      25";"      53"
"1012";"T001038";"10000";"CR18  ";"2022JJ00";"    1078";"      87";"     263";"     835";"     183";"     118";"      65";"     284";"     228";"       9";"      61";"     122";"       1";"     121";"      36";"      26";"       9";"      17"
"1013";"T001038";"10000";"CR18  ";"2023JJ00";"    1133";"      87";"     272";"     933";"     203";"     125";"      78";"     341";"     287";"      11";"      95";"     147";"       8";"     139";"      34";"      34";"       9";"      25"
"1014";"T001038";"10000";"CR18  ";"2024JJ00";"    1207";"      68";"     288";"     890";"     203";"     139";"      64";"     293";"     294";"      16";"      92";"     145";"       3";"     142";"      41";"      30";"      11";"      19"
"1041";"T001038";"10000";"CR19  ";"2022JJ00";"     746";"      57";"     170";"     549";"     104";"      69";"      35";"     208";"     164";"       4";"      60";"      78";"       1";"      77";"      22";"      19";"       8";"      11"
"1042";"T001038";"10000";"CR19  ";"2023JJ00";"     758";"      52";"     199";"     556";"     112";"      75";"      37";"     210";"     205";"      15";"      82";"      85";"       2";"      83";"      23";"      17";"       8";"       9"
"1043";"T001038";"10000";"CR19  ";"2024JJ00";"     771";"      32";"     197";"     522";"      83";"      48";"      35";"     203";"     218";"      11";"      81";"      99";"       2";"      97";"      27";"      21";"       8";"      13"
"1070";"T001038";"10000";"CR20  ";"2022JJ00";"     612";"      45";"     131";"     509";"     115";"      70";"      45";"     189";"     156";"       6";"      46";"      83";"       0";"      83";"      21";"      22";"       6";"      16"
